man	0.5458646616541353	0.012783628876204734
time	-0.5744360902255639	0.008072760656054091
way	-0.8917293233082706	1.302957014504241e-07
mr.	0.2629068370761734	0.26275942964973464
hand	0.7909774436090224	3.291872728004303e-05
day	0.4285714285714286	0.05937977468606565
face	-0.20902255639097742	0.3764723395871389
life	0.6541353383458646	0.0017551954128432125
head	-0.9112781954887217	2.3360131773309556e-08
mrs.	0.10401382592585301	0.662546981197411
door	-0.7533834586466165	0.0001256121573080165
room	-0.9082706766917292	3.118100742700073e-08
night	-0.44060150375939844	0.05185183693270709
house	0.10827067669172932	0.6495672222012883
father	0.593984962406015	0.005754247539586482
thing	0.2300751879699248	0.3291382464700846
mother	0.10375939849624059	0.6633257542362446
woman	-0.32481203007518794	0.16232315576999945
moment	0.8451127819548873	2.7376438111929376e-06
heart	0.9112781954887217	2.3360131773309556e-08
voice	-0.006015037593984962	0.9799209119891911
girl	-0.3654135338345864	0.11312213950560147
world	0.45714285714285713	0.042718510627876995
place	0.6842105263157895	0.0008772646601370105
side	0.23909774436090225	0.3099862644060448
boy	-0.2796992481203007	0.23234786067734586
morning	0.14736842105263157	0.5352473458918693
miss	-0.7127819548872181	0.00042017538910877716
name	0.8150375939849623	1.2033925213644683e-05
mind	0.9699248120300751	1.7143556108377437e-12
water	-0.7654135338345864	8.403045414071616e-05
wife	0.19248120300751878	0.4162064734197989
love	0.8796992481203006	3.2136697448460926e-07
money	-0.5819548872180451	0.00710443754510044
child	0.6060150375939849	0.004622614670722059
friend	0.8842105263157894	2.3175269783488693e-07
air	-0.012030075187969924	0.9598534442846784
table	-0.7774436090225564	5.4882854481497394e-05
word	0.7624060150375939	9.311509889394973e-05
sir	0.9398496240601503	7.860443387804434e-10
hair	-0.9684210526315788	2.6449829899729473e-12
bed	-0.9263157894736842	4.644139791699117e-09
work	-0.4947368421052631	0.02657864740545714
part	0.9789473684210527	7.14894440783183e-14
end	-0.8781954887218045	3.5733947904134215e-07
hour	0.9774436090225563	1.322934226421056e-13
death	0.8330827067669173	5.123854828137097e-06
window	-0.8345864661654135	4.750605779025444e-06
business	-0.47218045112781953	0.035542393671932
body	0.29473684210526313	0.20713542085215372
family	-0.5593984962406015	0.010333258461010714
kind	-0.3639097744360902	0.11472526385210588
arm	-0.07669172932330826	0.7479334475419401
country	0.9774436090225563	1.322934226421056e-13
fire	0.5368421052631579	0.014663294425522876
eye	0.8285714285714285	6.401019922542658e-06
lady	0.9338345864661652	1.8126865423587107e-09
home	-0.512781954887218	0.0207797266670458
son	0.4120300751879699	0.0710472186641245
year	-0.9834586466165413	8.293403515243347e-15
town	-0.58796992481203	0.0064001708761953924
matter	0.27669172932330827	0.23761884061099176
chair	-0.6601503759398496	0.001537048632118307
fact	-0.20300751879699244	0.39066623935419653
floor	-0.9639097744360902	8.65358685156247e-12
story	-0.6120300751879698	0.004129875210325543
look	-0.7999999999999999	2.2928871994400072e-05
husband	0.13684210526315788	0.5650957921363965
brother	0.7669172932330827	7.978155088069932e-05
city	-0.42556390977443603	0.06138492007540436
soul	0.9503759398496241	1.4466901765702984e-10
car	-0.9849624060150375	3.53643200208412e-15
rest	0.7443609022556391	0.00016739569998519392
mouth	-0.8887218045112781	1.6485274130235867e-07
road	-0.5503759398496241	0.011919637001913333
blood	0.4676691729323308	0.03758851020414889
sun	0.7278195488721804	0.00027529626409060167
street	-0.7368421052631579	0.00021080775336363285
smile	-0.03157894736842105	0.8948543863933638
truth	0.9368421052631578	1.2059368966099282e-09
power	0.9308270676691727	2.6744257920213915e-09
sight	0.831578947368421	5.522372803574232e-06
idea	-0.7278195488721804	0.00027529626409060167
thought	-0.18345864661654135	0.4387948865691028
earth	0.9864661654135337	1.3775681209191945e-15
letter	0.8691729323308269	6.569039927296354e-07
light	0.8511278195488721	1.961529361658419e-06
sound	-0.6676691729323309	0.0012967923499898853
ground	0.6842105263157895	0.0008772646601370105
person	0.512781954887218	0.0207797266670458
daughter	0.6030075187969924	0.004886612315025839
point	-0.5323308270676691	0.01568312513569595
horse	0.4421052631578947	0.05096470340964167
school	-0.9458646616541352	3.113604214027191e-10
question	0.5308270676691729	0.016035444376776162
case	0.4646616541353384	0.039002619486165416
silence	0.613533834586466	0.004013734729903659
office	-0.863157894736842	9.62152319092783e-07
reason	0.9458646616541352	3.113604214027191e-10
sense	-0.12781954887218044	0.5912462398946646
week	-0.8345864661654135	4.750605779025444e-06
line	-0.8075187969924811	1.6726328546716402e-05
paper	-0.24511278195488717	0.2976005003886618
book	-0.7278195488721804	0.00027529626409060167
sister	0.6631578947368421	0.0014368148651074362
manner	0.9533834586466164	8.33304572667919e-11
nature	0.9774436090225563	1.322934226421056e-13
war	0.08270676691729321	0.7288508763559796
wall	-0.9744360902255638	4.0365222137155066e-13
party	0.4766917293233082	0.03358407951093336
chance	-0.6060150375939849	0.004622614670722059
land	0.7503759398496239	0.00013841163311276012
p.	-0.6090225563909774	0.004370507553662533
wind	-0.12781954887218044	0.5912462398946646
trouble	-0.4661654135338345	0.03829049887630508
breath	0.26766917293233083	0.2538915426582106
sea	0.5984962406015037	0.005305836200418916
river	0.6736842105263157	0.0011280967372370514
afternoon	-0.5203007518796992	0.018683221143120664
dr.	0.621095346649752	0.0034699196810691084
spirit	0.9909774436090225	3.6423222015869136e-17
foot	0.6225563909774435	0.003372243843155665
glass	-0.9624060150375938	1.242702796593181e-11
scene	0.8045112781954886	1.9005924425704478e-05
corner	-0.77593984962406	5.796529340653607e-05
attention	0.8165413533834586	1.1247209263971732e-05
