remark	5	13	22	46	75	130	230	407	633	goose	2	3	7	8	18	40	70	106	159
scorn	16	27	40	56	78	94	139	216	347	gettin	51	74	107	161	214	279	393	552	760
evil	38	78	171	289	492	727	1065	1563	2175	purse	16	21	29	46	66	108	166	269	443
crown	2	5	12	24	39	80	207	437	913	dome	1	2	2	6	12	31	46	89	173
consideration	220	352	557	856	1266	1707	2280	3037	3879	architecture	11	17	31	57	116	203	397	677	1133
consequence	129	189	307	502	735	1093	1539	2174	2929	uncertainty	19	31	46	84	151	257	439	716	1110
madam	1	1	1	4	4	10	15	23	53	gypsy	1	7	8	11	19	26	45	86	161
deed	3	3	7	9	25	43	76	134	240	wig	8	13	20	28	42	55	80	116	194
fame	8	14	29	57	100	225	454	845	1386	ranch	10	12	23	49	80	140	213	335	551
throne	2	5	6	18	25	42	73	134	214	bicycle	18	26	33	56	90	135	198	296	510
anguish	33	49	73	104	156	216	294	423	607	stairway	8	8	11	17	24	34	51	75	108
ambition	9	16	26	42	76	120	218	348	550	festival	22	41	60	96	169	267	446	765	1233
wit	8	17	32	49	84	148	265	455	751	fare	2	3	7	13	27	57	107	193	393
distress	2	3	7	16	27	43	76	138	252	hurricane	18	20	30	40	58	85	118	182	298
sentiment	2	2	4	9	21	48	102	198	399	proximity	4	5	17	25	37	57	112	239	467
goodness	9	36	52	102	200	318	522	774	1156	waitress	6	9	11	14	21	23	33	56	104
veil	1	3	6	10	22	31	59	90	141	kin	0	0	2	3	3	7	17	40	98
rank	5	7	12	22	32	67	153	373	687	poem	15	23	44	66	108	173	302	516	862
vengeance	5	7	8	10	18	29	74	116	213	overcoat	4	7	9	15	23	32	49	77	111
foe	7	8	11	16	20	28	39	64	111	sob	1	2	6	9	12	21	37	60	123
indignation	26	40	56	72	100	155	214	313	463	starvation	7	9	12	16	24	50	85	149	238
reward	14	22	34	81	161	324	578	917	1409	harbor	13	18	30	52	84	141	245	410	708
wrath	2	7	14	25	35	60	93	160	246	saloon	2	4	4	8	11	18	31	54	89
principle	35	70	120	192	344	547	885	1335	1917	convention	6	8	17	32	68	117	216	430	851
haste	0	1	1	3	3	6	11	20	31	kettle	6	9	12	19	28	50	79	118	185
sacrifice	5	9	23	51	109	196	365	628	1035	vegetable	53	77	109	151	197	293	432	597	814
circumstance	11	19	32	58	112	185	314	543	872	millionaire	6	8	8	10	14	15	33	56	88
oath	6	9	15	20	27	32	48	90	177	drum	7	12	25	41	68	103	173	253	433
disposition	1	2	3	6	17	27	57	113	212	fraternity	6	9	9	13	21	27	36	48	73
messenger	3	5	6	10	18	26	48	95	159	magician	5	7	9	18	24	30	37	64	116
honour	12	17	39	70	108	180	325	537	874	waitin	0	4	8	11	23	43	57	89	138
vanity	4	6	7	12	22	34	52	87	158	buffalo	10	19	36	58	94	154	258	475	891
motive	5	7	11	11	22	41	78	149	290	hostess	1	3	3	5	8	16	28	35	80
praise	14	32	55	99	154	266	445	735	1164	motor	13	21	43	55	102	183	362	663	1168
solitude	8	9	12	18	29	45	69	97	158	refusal	19	29	56	97	163	270	437	670	1030
ruin	8	19	44	105	204	362	560	846	1275	herbs	24	38	58	83	135	214	323	474	720
mischief	0	0	2	4	11	18	30	63	109	verdict	15	24	34	45	57	92	151	235	375
inquiry	5	17	31	66	127	223	390	711	1148	academy	11	16	27	54	122	235	458	852	1395
enjoyment	15	27	43	82	159	306	526	861	1334	diversion	1	1	4	6	6	8	14	30	82
majesty	2	5	11	15	25	37	55	95	164	veranda	13	19	24	32	56	86	121	176	250
regard	454	702	991	1384	1883	2424	3157	3960	4943	theme	4	9	34	87	204	381	711	1128	1766
relation	123	201	359	565	836	1243	1762	2435	3246	trailer	6	13	19	33	57	100	185	338	697
assurance	7	17	29	59	100	183	329	607	945	gardener	5	6	7	8	16	28	46	81	146
mankind	8	10	18	43	76	133	244	391	658	salute	4	4	8	11	21	37	49	75	129
farewell	3	6	8	13	31	51	89	177	299	lookout	0	1	4	7	11	24	40	70	144
wretch	0	0	0	0	1	1	2	5	14	missy	2	4	14	29	58	97	163	259	414
dread	1	4	5	10	23	38	71	113	193	crust	15	25	45	77	115	188	261	374	519
jealousy	25	39	59	80	114	169	238	364	515	apparatus	27	39	68	108	161	251	380	588	881
simplicity	8	11	23	43	76	122	222	371	591	distraction	4	4	6	15	25	41	93	220	452
recollection	1	2	4	5	11	15	29	58	105	predicament	5	8	15	19	34	65	114	188	321
consent	24	48	83	137	222	347	545	794	1225	strand	1	2	3	5	7	19	33	56	94
ray	16	36	78	127	210	378	636	1091	1659	ms	4	7	16	19	36	70	159	373	787
apprehension	7	9	14	36	64	87	131	192	313	incarnation	4	7	13	18	30	47	88	152	245
strife	11	21	28	37	56	86	132	195	283	buggy	1	1	3	9	18	28	41	63	108
disgrace	7	11	15	24	41	61	93	168	263	stupidity	38	49	69	111	169	246	380	552	826
woe	1	2	5	10	17	25	45	73	119	pane	2	5	5	8	15	24	36	58	109
multitude	26	34	57	89	141	263	454	753	1205	starboard	1	2	2	6	7	11	23	37	52
maiden	0	0	0	0	3	11	25	52	108	ecstasy	4	8	13	15	25	43	59	92	148
blaze	4	5	7	12	19	25	40	67	135	mantel	4	4	4	6	7	14	24	44	72
agitation	3	8	15	19	29	49	71	112	185	firelight	0	0	0	1	1	1	2	10	20
dew	0	0	1	1	2	4	15	31	59	coil	7	12	20	34	66	104	177	292	462
toil	1	4	5	8	14	20	35	57	106	ether	4	6	11	18	28	46	67	102	145
reverence	15	20	28	46	86	120	199	297	452	intuition	5	11	22	31	40	61	92	163	264
misfortune	3	8	11	24	41	69	101	185	299	concession	1	1	1	2	3	8	14	29	60
execution	7	8	20	42	76	157	327	621	1153	geography	14	19	38	50	80	136	199	309	489
distinction	19	43	80	154	278	465	753	1178	1698	countryside	21	38	61	81	122	174	257	409	598
utterance	1	2	2	2	7	12	23	49	87	kerchief	1	4	4	5	6	12	16	26	40
mirth	1	1	2	2	6	12	21	33	61	whisky	10	13	21	32	40	56	74	105	146
objection	10	16	33	67	112	168	262	406	635	velocity	6	11	20	37	60	102	171	314	479
purity	1	2	6	11	19	38	80	137	225	flask	3	5	8	9	12	21	33	56	89
loveliness	5	7	14	25	37	67	102	174	291	mantelpiece	2	2	2	2	3	4	5	11	18
traitor	7	10	13	14	24	45	70	118	189	nickel	12	19	25	39	49	71	94	155	231
zeal	10	11	17	29	42	64	110	171	276	stair	8	9	12	14	22	37	55	78	124
tempest	0	0	0	1	1	2	6	13	26	tellin	10	16	30	45	65	92	143	221	335
remembrance	8	15	23	37	45	64	112	173	261	unhappiness	34	49	73	95	127	170	251	347	485
delicacy	3	3	4	9	14	33	58	103	177	skipper	1	4	4	11	18	34	59	94	152
obedience	1	2	4	12	24	42	65	118	198	arrogance	47	70	111	156	213	308	457	643	940
cruelty	4	10	17	33	55	89	141	231	340	ripple	1	1	1	3	5	7	8	16	33
injustice	26	40	59	88	133	205	303	460	695	outsider	1	1	1	2	2	8	20	41	83
abode	1	1	1	3	6	10	15	32	62	runnin	4	9	19	26	42	61	90	131	186
eloquence	5	10	16	24	39	65	100	164	262	spinster	1	2	2	2	3	3	7	11	24
tumult	5	9	12	14	23	34	52	94	175	burglar	5	7	8	11	15	19	28	47	74
defence	5	10	18	38	63	111	219	453	866	watchin	14	23	41	55	86	119	173	260	366
readiness	3	4	10	19	38	70	136	240	400	revulsion	20	33	44	59	77	116	166	248	386
traveller	4	7	11	19	28	36	55	87	139	omelette	9	12	24	32	66	108	165	255	351
morn	1	1	1	4	4	9	19	38	72	colt	4	6	10	15	25	33	54	81	127
prosperity	7	12	21	37	57	97	168	311	534	mortality	13	18	34	54	95	154	222	348	515
offence	12	18	29	43	74	118	178	287	453	buzzard	0	2	3	4	4	6	15	25	41
morrow	0	1	5	8	27	68	113	207	403	workin	18	26	40	51	74	103	148	215	290
intercourse	7	14	23	31	44	62	104	172	272	standpoint	4	10	26	51	106	209	361	560	878
esteem	6	6	10	18	30	43	76	139	249	miner	2	2	3	3	5	8	11	16	26
monarch	0	1	1	1	6	15	18	26	46	sundown	1	1	1	1	4	5	6	10	16
propriety	3	3	4	13	24	40	69	114	185	ugliness	10	28	48	72	104	177	273	412	636
vigor	3	4	6	9	14	23	38	72	121	sayin	118	153	217	282	383	486	612	767	986
desolation	1	1	2	3	6	11	19	40	74	schoolhouse	0	1	1	1	1	1	3	12	26
malice	3	3	9	19	34	58	87	136	201	spasm	3	5	18	25	43	63	98	162	255
